Status  Humidity (%)    Temperature (C) (F)
OK      77.3            23.2
OK      77.1            23.2
OK      77.0            23.2
OK      77.0            23.2
OK      77.1            23.2
OK      77.1            23.2
OK      77.3            23.2
OK      77.4            23.2
OK      77.5            23.2
OK      77.6            23.2
OK      78.0            23.2
OK      78.7            23.2
OK      79.2            23.2
OK      79.3            23.2
OK      79.4            23.2
OK      79.9            23.2
OK      80.2            23.2
OK      81.3            23.2
OK      82.5            23.2
OK      83.4            23.2
OK      85.5            23.3
OK      87.2            23.2
OK      88.5            23.3
OK      89.5            23.2
OK      90.1            23.3
OK      90.7            23.3
OK      90.9            23.3
OK      91.0            23.3
OK      91.0            23.3
OK      91.1            23.3
OK      91.2            23.3
OK      91.5            23.3
OK      91.7            23.3
OK      91.9            23.2
OK      92.1            23.2
OK      92.2            23.3
OK      92.2            23.3
OK      92.2            23.3
OK      92.2            23.2
OK      92.3            23.3
OK      92.2            23.2
OK      92.2            23.2
OK      92.3            23.2
OK      92.3            23.2
OK      92.3            23.2
OK      92.4            23.2
OK      92.3            23.2
OK      92.2            23.2
OK      92.3            23.2
OK      92.3            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      92.0            23.2
OK      92.0            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      92.3            23.2
OK      92.3            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      92.1            23.2
OK      92.1            23.2
OK      92.1            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      92.2            23.2
OK      91.9            23.2
OK      91.7            23.2
OK      91.5            23.2
OK      91.3            23.2
OK      91.1            23.2
OK      90.8            23.2
OK      90.6            23.2
OK      90.4            23.2
OK      90.2            23.2
OK      90.0            23.2
OK      89.7            23.2
OK      89.4            23.2
OK      89.1            23.2
OK      88.9            23.2
OK      88.7            23.2
OK      88.5            23.2
OK      88.2            23.2
OK      88.1            23.2
OK      87.9            23.2
OK      88.0            23.2
OK      88.3            23.2
OK      88.4            23.2
OK      88.3            23.2
OK      88.5            23.2
OK      88.6            23.2
OK      88.4            23.2
OK      88.1            23.2
OK      87.8            23.2
OK      87.6            23.2
OK      87.4            23.2
OK      87.3            23.2
OK      87.3            23.2
OK      87.5            23.2
OK      87.5            23.2
OK      87.5            23.2
OK      87.2            23.2
OK      87.0            23.2
OK      86.8            23.2
OK      86.7            23.2
OK      86.7            23.2
OK      86.8            23.2
OK      87.1            23.2
OK      87.2            23.2
OK      87.0            23.2
OK      86.8            23.2
OK      86.6            23.2
OK      86.6            23.2
OK      86.8            23.2
OK      87.1            23.2
OK      87.3            23.2
OK      87.2            23.2
OK      87.1            23.2
OK      86.9            23.2
OK      86.6            23.2
OK      86.4            23.2
OK      86.2            23.2
OK      86.2            23.2
OK      86.3            23.2
OK      86.4            23.2
OK      86.4            23.2
OK      86.2            23.2
OK      85.8            23.2
OK      85.5            23.3
OK      85.3            23.2
OK      85.3            23.2
OK      85.3            23.2
OK      85.2            23.2
OK      84.9            23.2
OK      84.5            23.3
OK      84.2            23.2
OK      84.3            23.3
OK      84.5            23.3
OK      84.8            23.3
OK      85.2            23.3
OK      85.4            23.3
OK      85.4            23.3
OK      85.6            23.3
OK      85.7            23.3
OK      85.7            23.3
OK      85.7            23.3
OK      85.7            23.3
OK      85.6            23.3
OK      85.6            23.3
OK      85.9            23.3
OK      86.2            23.3
OK      86.4            23.3
OK      86.5            23.3
OK      86.6            23.3
OK      86.4            23.3
OK      86.4            23.3
OK      86.5            23.3
OK      86.5            23.3
OK      86.5            23.3
OK      86.5            23.3
OK      86.6            23.3
OK      86.6            23.4
OK      86.4            23.4
OK      86.2            23.3
OK      86.1            23.3
OK      86.0            23.4
OK      85.8            23.4
OK      85.6            23.4
OK      85.6            23.4
OK      85.7            23.4
OK      86.1            23.4
OK      86.2            23.4
OK      86.3            23.4
OK      86.3            23.4
OK      86.4            23.4
OK      86.5            23.4
OK      86.5            23.4
OK      86.2            23.4
OK      85.8            23.4
OK      85.4            23.4
OK      85.2            23.4
OK      85.1            23.4
OK      85.1            23.4
OK      85.2            23.4
OK      85.6            23.5
OK      86.0            23.5
OK      86.2            23.5
OK      86.3            23.5
OK      86.4            23.5
OK      86.2            23.5
OK      85.9            23.5
OK      85.7            23.5
OK      85.4            23.5
OK      85.3            23.5
OK      85.6            23.5
OK      85.7            23.5
OK      86.1            23.5
OK      86.3            23.5
OK      86.2            23.5
OK      86.1            23.5
OK      85.9            23.5
OK      86.1            23.5
OK      86.2            23.5
OK      86.5            23.5
OK      86.4            23.5
OK      86.6            23.5
OK      86.6            23.5
OK      86.3            23.5
OK      86.1            23.6
OK      85.9            23.5
OK      85.9            23.6
OK      85.7            23.6
OK      85.4            23.6
OK      85.0            23.6
OK      84.9            23.6
OK      84.8            23.6
OK      84.8            23.6
OK      84.8            23.6
OK      85.0            23.6
OK      85.2            23.6
OK      85.3            23.6
OK      85.9            23.6
OK      86.7            23.6
OK      87.1            23.6
OK      87.3            23.6
OK      87.3            23.6
OK      87.3            23.6
OK      87.3            23.7
OK      87.3            23.6
OK      87.3            23.6
OK      87.5            23.7
OK      87.3            23.6
OK      87.3            23.7
OK      88.1            23.7
OK      88.8            23.7
OK      89.0            23.7
OK      88.9            23.7
